DRUGid,code,name,unit,alias,py,wb,isClassical,SPETid,illustration,createDay,optrid,state
a4c2768c-42be-4c27-a0cb-3472d6c3735f,1895,川乌,克, ,cw,kq,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
5d3fd9f7-ca12-474f-bf50-16ed373fd508,1956,桑枝,克, ,sz,cs,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
0771c382-34eb-4830-8db4-cc0b7bc5dcc9,2014,莲子,克, ,lz,ab,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
d7613735-c588-4293-882e-711eebc04f63,2074,五倍子,克, ,wbz,gwb,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
80fada0a-7fca-4bd1-8071-50132d5a8af4,2135,龟板胶,克, ,gbj,qse,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
950c514b-eff1-4f84-812a-14b2fa32396d,2136,山楂,克, ,sc,ms,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
76140621-2bf8-4a46-b56b-d64df3b018e7,2137,白扁豆,克, ,bbd,ryg,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
91ee5b8b-e23c-4d4a-ae42-11252209a0b0,2138,白果,克, ,bg,rj,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
bcfba39a-83db-451d-9fd7-ced5833d4166,2139,黄药子,克, ,hyz,aab,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
2b2c3620-e921-47f8-a11a-eca2f1468080,2140,芡实,克, ,qs,ap,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
58a0abd9-fa97-49a6-a121-6544ea1ea3d2,2141,必甲胶,克, ,bjj,nle,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
383bcb1e-5cc9-4abf-867a-b1ade29715ef,2142,红枣,克, ,hz,xg,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
872cee81-3fbd-4e7f-a10c-626b3291d01a,2143,荔枝核,克, ,lzh,ass,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
36004a81-2ea5-4d23-baf4-adb4bf1ed6ea,2144,开金锁,克, ,kjs,gqq,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
2f8dd88a-2cc4-42a5-904a-34cc92c3906e,2146,蒲黄炭,克, ,pht,aam,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
90cee9f0-8906-483f-849d-bfcbe8432a75,2147,赤小豆,克, ,cxd,fig,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
748a655c-5304-4ab2-9848-0a10b3ad067d,2148,三七粉,克, ,sqf,dao,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
7aa1b9e2-c9d7-40ad-a03e-e0bbd7bd367c,2149,藜芦,克, ,ll,aa,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
109e8023-f7cc-47a8-859d-6bd752c1bedc,2150,槐角,克, ,hj,sq,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
814485ba-a844-4aa3-9e10-b2441f25e380,2152,桑椹,克, ,ss,cs,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
f41bc92f-6fbb-4c06-bd97-8926784db645,2153,苦丁茶,克, ,kdc,asa,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
3ab00e34-7feb-4658-9f9f-331e7d0fb5c6,2154,川贝粉,克, ,cbf,kmo,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
829968c1-fd06-4e2f-a27c-148ffff75efc,2155,西青果,克, ,xqg,sgj,1, ,,2008-03-25 01:42:59.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
