FREPid,code,name,effect,py,wb,isClassical,SPETid,illustration,createDay,optrid,state
65dd5753-aad0-4261-94d3-09a67bd4f9a1,378,华盖散,,HGS,WUA,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
77b60843-ad13-477c-b52f-d7345d93080a,380,桂枝汤,,GZT,SSI,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
e0e05168-1df2-4f39-91c1-bf010b31880d,382,桂枝加桂汤,,GZJGT,SSLSI,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
76913adf-36ec-46fb-aea6-6b9dbea5a928,383,大承气汤,,DCQT,DBRI,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
83e27842-88db-4284-b45c-fd865a77a587,384,桂枝加芍药汤,,GZJSYT,SSLAAI,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
6e798d64-e361-4c43-a7ee-f7d8494066b1,385,小承气汤,,XCQT,IBRI,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
45e053e0-d0a5-43ac-b325-25b28aba97bb,386,九味羌活汤,,JWQHT,VKUII,1, ,,2008-03-25 02:05:10.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
9fe00da5-6e58-43a3-901c-5d68f0745ba5,387,调胃承气汤,,DWCQT,YLBRI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
ba79e40d-2ff9-4e83-9ac1-f1eefe0b51e3,388,复方承气汤,,FFCQT,TYBRI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
caeb2749-5cb7-492c-a78a-95729c102a9e,389,羌活胜湿汤,,QHSST,UIEII,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
b01642b0-d55b-44ee-88a7-8d80e75d374c,390,大黄牡丹汤,,DHMDT,DATMI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
92bd6954-5343-49b3-ad11-c0f89b36217f,391,小柴胡汤,,XCHT,IHDI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
b0787806-55cd-40b6-bbc9-0b08e3e46bf3,392,阑尾化瘀汤,,LWHYT,UNWUI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
db835d0e-82a8-409c-9990-740a517a4159,393,香薷散,,XRS,TAA,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
2ede0971-1426-44da-9623-7b2ccf08e00c,394,阑尾清化汤,,LWQHT,UNIWI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
65419857-3321-4a6a-ac0b-137f463ceddc,395,新加香薷散,,XJXRS,ULTAA,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
aade6860-ba5b-4a6a-9975-9fccee817d6a,397,阑尾清解汤,,LWQJT,UNIQI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
6be167c1-3d47-4820-b406-063aa45c9b88,398,射干麻黄汤,,SGMHT,TFYAI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
efb98003-7b72-442b-8217-afd192f315b5,399,大黄附子汤,,DHFZT,DABBI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
e899b10c-218e-4127-b1e8-69cd408f79f0,400,温脾汤,,WPT,IEI,1, ,,2008-03-25 02:05:11.000,c6543358-354b-4986-a06f-bd61b0cde15d,3
