FRITid,DRUGid,FREPid,quality,sequence,illustration
9c18a29f-faa1-494d-839c-7a89cba439e8,e28b7d9c-e817-47c1-b227-97d8eca021a7,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
ba6acfbf-cb41-4ef7-b8a5-a1a5bfacef1b,af8d3bfe-2784-4e29-ac71-87dca4fad845,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
8f462db5-9a3c-4505-b83a-c99c0ab5a388,35eb1695-5a33-4ca9-9ce8-02b4652db69e,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
7ba2703f-d633-4a2a-9cff-22fbf9561c52,bd48cde0-b649-47c4-ace1-26028b405eca,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
95bf5eda-d4ad-4625-8d37-2e8f15cf38f4,f46d947c-a2e2-41eb-baf7-982d1b30b59c,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
6d808cc4-20fe-4737-a803-31a58cc4c4fc,f1db3910-b3ef-4080-8e14-afb3be9e4fb9,65dd5753-aad0-4261-94d3-09a67bd4f9a1,9.0000,0,
7dd7bf43-cb0d-4de5-8786-ed23285c1fd0,dbbe66ec-e879-458e-9f15-e3dbab3510a6,65dd5753-aad0-4261-94d3-09a67bd4f9a1,6.0000,0,
f7507959-fbd4-46dc-bd8c-7a1026b67cd4,03a2cfc2-6328-4a95-9dca-ebcd41673cf4,77b60843-ad13-477c-b52f-d7345d93080a,9.0000,0,
43b760bd-f627-4f12-8b35-9c2a49c11f65,0ccf072c-8802-42ee-aed2-4951a3f8d46e,77b60843-ad13-477c-b52f-d7345d93080a,9.0000,0,
6588092d-a96d-4b24-b84e-2bf2cc8096cf,383bcb1e-5cc9-4abf-867a-b1ade29715ef,77b60843-ad13-477c-b52f-d7345d93080a,27.0000,0,
c06f37e2-31e9-45a8-a522-ab83148247df,dbbe66ec-e879-458e-9f15-e3dbab3510a6,77b60843-ad13-477c-b52f-d7345d93080a,6.0000,0,
43523839-4d05-4712-8b1b-987cf453cc34,03a2cfc2-6328-4a95-9dca-ebcd41673cf4,e0e05168-1df2-4f39-91c1-bf010b31880d,9.0000,0,
e9e70023-a0be-43f1-be58-d89c8b813625,0ccf072c-8802-42ee-aed2-4951a3f8d46e,e0e05168-1df2-4f39-91c1-bf010b31880d,15.0000,0,
731b86b0-4112-4196-9be6-26be4d984452,383bcb1e-5cc9-4abf-867a-b1ade29715ef,e0e05168-1df2-4f39-91c1-bf010b31880d,27.0000,0,
c730976c-c82e-41d5-aa76-64b3fcbe8b0a,dbbe66ec-e879-458e-9f15-e3dbab3510a6,e0e05168-1df2-4f39-91c1-bf010b31880d,6.0000,0,
9bd0224a-372f-4de9-a86f-2b6195138a2c,5ca98310-45ba-4bcf-b584-023f4af87f83,e0e05168-1df2-4f39-91c1-bf010b31880d,9.0000,0,
051e0879-c421-4daf-80c6-e885318ac94f,8a1c0d5f-4bc6-4360-9035-551c48cf54e6,76913adf-36ec-46fb-aea6-6b9dbea5a928,12.0000,0,
ae7e50cb-800a-4981-b0e9-c56ff6248fbf,de8f6b79-aab0-4937-9eaf-314804f558fc,76913adf-36ec-46fb-aea6-6b9dbea5a928,12.0000,0,
a843d462-cfc1-444b-85e7-4786bfd4cfb6,32f5f51a-9534-4bb0-b802-3019fb97f048,76913adf-36ec-46fb-aea6-6b9dbea5a928,24.0000,0,
da85ffe7-dfeb-464d-b77a-30a3ea2a8a94,03a2cfc2-6328-4a95-9dca-ebcd41673cf4,83e27842-88db-4284-b45c-fd865a77a587,18.0000,0,
e6ba43ee-ae73-429d-969f-5ec6b437e8a0,0ccf072c-8802-42ee-aed2-4951a3f8d46e,83e27842-88db-4284-b45c-fd865a77a587,9.0000,0,
9ebfaa49-ac2a-43e6-ac52-c19d51ca0e61,383bcb1e-5cc9-4abf-867a-b1ade29715ef,83e27842-88db-4284-b45c-fd865a77a587,27.0000,0,
8c9f952a-147d-47d0-bb40-1762e3c0006c,dbbe66ec-e879-458e-9f15-e3dbab3510a6,83e27842-88db-4284-b45c-fd865a77a587,6.0000,0,
f58ee0d6-769d-47e2-ac51-701be428fd9d,5ca98310-45ba-4bcf-b584-023f4af87f83,83e27842-88db-4284-b45c-fd865a77a587,9.0000,0,
f30a72d2-a6fd-4986-a941-ae8d6983a691,8a1c0d5f-4bc6-4360-9035-551c48cf54e6,6e798d64-e361-4c43-a7ee-f7d8494066b1,12.0000,0,
83d7f95d-1e18-4238-984e-6b7e86dc2fb9,de8f6b79-aab0-4937-9eaf-314804f558fc,6e798d64-e361-4c43-a7ee-f7d8494066b1,9.0000,0,
4d24cb8c-f3aa-4ff7-9e65-5295a78ea67a,32f5f51a-9534-4bb0-b802-3019fb97f048,6e798d64-e361-4c43-a7ee-f7d8494066b1,6.0000,0,
0bcb6c8b-51b1-44fd-a80c-a670b711e19f,ed97b7cc-8644-4e22-8f0d-1ca2360edecc,45e053e0-d0a5-43ac-b325-25b28aba97bb,3.0000,0,
f6f84c78-9a25-431a-8301-bc3fb6a6b5ee,373a849e-c973-49d8-9eed-222788a417d6,45e053e0-d0a5-43ac-b325-25b28aba97bb,3.0000,0,
cce1d2b5-796a-4cf0-a64d-1337a829754d,1ca7e53f-4079-4082-ba94-b63608a5ac1d,45e053e0-d0a5-43ac-b325-25b28aba97bb,2.0000,0,
f56006ba-e529-4372-9815-dc178ad46ee0,dbbe66ec-e879-458e-9f15-e3dbab3510a6,45e053e0-d0a5-43ac-b325-25b28aba97bb,3.0000,0,
c35dd4ac-43b2-42ba-b4fa-9cda92b010e1,f0f93f01-8a56-4555-93ab-e164412ccb0d,45e053e0-d0a5-43ac-b325-25b28aba97bb,3.0000,0,
27b3135a-5b9f-4bba-b1da-e89b9073adfe,78baf310-5908-4a09-aa8c-d30f56a1f34e,45e053e0-d0a5-43ac-b325-25b28aba97bb,3.0000,0,
f66ce116-5398-45ac-9029-042acdd20250,95e8938b-2cbd-495d-9860-f4ad90d2f83f,45e053e0-d0a5-43ac-b325-25b28aba97bb,6.0000,0,
996e6078-25e5-46a7-b65b-e5edc88efa03,c0e0a5d8-c76e-4a13-9e51-711ba90ea84f,45e053e0-d0a5-43ac-b325-25b28aba97bb,6.0000,0,
f5c36a95-edc2-4fdd-9297-d93a1773bb74,319460d2-e1d0-496b-b354-26bcde8153f2,45e053e0-d0a5-43ac-b325-25b28aba97bb,6.0000,0,
4976a192-6e98-46b9-9970-e2f4f6e7cfbb,8a1c0d5f-4bc6-4360-9035-551c48cf54e6,9fe00da5-6e58-43a3-901c-5d68f0745ba5,12.0000,0,
d9eb97d6-4e00-4093-bea8-ca1601801864,dbbe66ec-e879-458e-9f15-e3dbab3510a6,9fe00da5-6e58-43a3-901c-5d68f0745ba5,6.0000,0,
66f81f8c-dcd0-4e3c-b9a9-a71d4de3fba9,8a1c0d5f-4bc6-4360-9035-551c48cf54e6,ba79e40d-2ff9-4e83-9ac1-f1eefe0b51e3,15.0000,0,
